"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Female","77.8","77.84315","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Female","65.7","65.71811","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Female","21.3","21.28877","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Female","78.4","78.42261","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Female","66.2","66.18772","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Female","21.7","21.69320","","","","",""
"Life expectancy at birth (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Both sexes","73.2","73.18027","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Both sexes","63.9","63.85107","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Eastern Mediterranean","United Arab Emirates","Both sexes","18.7","18.68954","","","","",""
"Life expectancy at birth (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Both sexes","74.9","74.86285","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Both sexes","65.1","65.10197","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Eastern Mediterranean","United Arab Emirates","Both sexes","19.5","19.52888","","","","",""
"Life expectancy at birth (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Both sexes","75.3","75.31077","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Both sexes","65.4","65.44885","","","","",""
"Life expectancy at age 60 (years)","Published","2015","Eastern Mediterranean","United Arab Emirates","Both sexes","19.4","19.41152","","","","",""
"Life expectancy at birth (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Both sexes","76.1","76.07952","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Both sexes","66.0","65.99278","","","","",""
"Life expectancy at age 60 (years)","Published","2019","Eastern Mediterranean","United Arab Emirates","Both sexes","19.9","19.91950","","","","",""
"Life expectancy at birth (years)","Published","2000","Americas","Argentina","Male","70.3","70.33520","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Argentina","Male","62.8","62.82815","","","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Argentina","Male","17.6","17.58203","","","","",""
"Life expectancy at birth (years)","Published","2010","Americas","Argentina","Male","72.1","72.14228","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2010","Americas","Argentina","Male","64.4","64.37117","","","","",""
"Life expectancy at age 60 (years)","Published","2010","Americas","Argentina","Male","18.3","18.26594","","","","",""
"Life expectancy at birth (years)","Published","2015","Americas","Argentina","Male","72.9","72.91711","","","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2015","Americas","Argentina","Male","64.9","64.94321","","","","",""
